id	molecular_formula	name	inchi	inchi_key
HMDB0001276	C9H21N3O	N1-Acetylspermidine	InChI=1S/C9H21N3O/c1-9(13)12-8-4-7-11-6-3-2-5-10/h11H,2-8,10H2,1H3,(H,12,13)	MQTAVJHICJWXBR-UHFFFAOYSA-N
HMDB0001296	C24H42O21	Maltotetraose	InChI=1S/C24H42O21/c25-1-5-9(29)10(30)15(35)22(40-5)44-19-7(3-27)42-24(17(37)12(19)32)45-20-8(4-28)41-23(16(36)13(20)33)43-18-6(2-26)39-21(38)14(34)11(18)31/h5-38H,1-4H2/t5-,6-,7-,8-,9-,10+,11-,12-,13-,14-,15-,16-,17-,18-,19-,20-,21?,22-,23-,24-/m1/s1	LUEWUZLMQUOBSB-AYQJAVFRSA-N
HMDB0001297	C9H10N2O	Norcotinine	InChI=1S/C9H10N2O/c12-9-4-3-8(11-9)7-2-1-5-10-6-7/h1-2,5-6,8H,3-4H2,(H,11,12)	FXFANIORDKRCCA-UHFFFAOYSA-N
HMDB0001302	Mo	Molybdenum	InChI=1S/Mo/q+2	MMVYPOCJESWGTC-UHFFFAOYSA-N
HMDB0001310	C3H7NO2	D-Alanine	InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m1/s1	QNAYBMKLOCPYGJ-UWTATZPHSA-N
HMDB0001311	C3H6O3	D-Lactic acid	InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/t2-/m1/s1	JVTAAEKCZFNVCJ-UWTATZPHSA-N
HMDB0001315	P	Phosphorus	InChI=1S/P	OAICVXFJPJFONN-UHFFFAOYSA-N
HMDB0001325	C9H20N2O2	N6,N6,N6-Trimethyl-L-lysine	InChI=1S/C9H20N2O2/c1-11(2,3)7-5-4-6-8(10)9(12)13/h8H,4-7,10H2,1-3H3/t8-/m0/s1	MXNRLFUSFKVQSK-QMMMGPOBSA-N
HMDB0001327	Rb	Rubidium	InChI=1S/Rb/q+1	NCCSSGKUIKYAJD-UHFFFAOYSA-N
HMDB0001333	Mn	Manganese	InChI=1S/Mn/q+2	WAEMQWOKJMHJLA-UHFFFAOYSA-N
HMDB0001336	C8H8O4	3,4-Dihydroxybenzeneacetic acid	InChI=1S/C8H8O4/c9-6-2-1-5(3-7(6)10)4-8(11)12/h1-3,9-10H,4H2,(H,11,12)	CFFZDZCDUFSOFZ-UHFFFAOYSA-N
HMDB0001341	C10H15N5O10P2	ADP	InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1	XTWYTFMLZFPYCI-KQYNXXCUSA-N
